,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
312,0.45454547,0.42975205,0.5371901,0.61157024,0.6528926,0.70247936,0.72727275,0.7355372
286,0.1322314,0.1570248,0.14049587,0.21487603,0.2603306,0.32231405,0.35950413,0.39256197
357,0.47933885,0.53305787,0.5661157,0.59090906,0.59090906,0.59090906,0.60330576,0.607438
241,0.18595041,0.16528925,0.1694215,0.28099173,0.42561984,0.4876033,0.5123967,0.57438016
285,0.37190083,0.34710744,0.3677686,0.38016528,0.41735536,0.43801653,0.46280992,0.553719
135,0.3181818,0.38429752,0.4338843,0.5041322,0.5785124,0.59504133,0.6487603,0.6818182
143,0.4338843,0.57024795,0.6404959,0.6446281,0.6198347,0.6322314,0.6487603,0.6487603
364,0.24793388,0.38842976,0.3966942,0.54545456,0.79752064,0.8347107,0.8719008,0.8677686
197,0.23966943,0.2644628,0.446281,0.7355372,0.8595041,0.8429752,0.8347107,0.8305785
39,0.553719,0.57438016,0.58677685,0.60330576,0.61157024,0.6404959,0.6570248,0.661157
246,0.14876033,0.20661157,0.19421488,0.19421488,0.2603306,0.3429752,0.40082645,0.41735536
187,0.16115703,0.12396694,0.2107438,0.30165288,0.37603307,0.42561984,0.45041323,0.49173555
242,0.2603306,0.35123968,0.43801653,0.553719,0.6487603,0.6942149,0.74793386,0.7892562
290,0.30578512,0.30578512,0.5495868,0.6652893,0.6570248,0.6735537,0.677686,0.73966944
23,0.59504133,0.6404959,0.61570245,0.6446281,0.6859504,0.7231405,0.73140496,0.7066116
385,0.21487603,0.29752067,0.38016528,0.5206612,0.553719,0.55785125,0.59504133,0.6363636
124,0.1570248,0.1570248,0.15289256,0.15289256,0.1570248,0.18595041,0.15289256,0.3553719
384,0.4876033,0.55785125,0.57438016,0.5661157,0.56198347,0.59504133,0.62396693,0.6280992
297,0.5082645,0.6280992,0.6694215,0.40495867,0.53305787,0.6983471,0.7933884,0.8553719
82,0.32231405,0.4090909,0.45454547,0.47107437,0.48347107,0.47107437,0.5165289,0.5413223
95,0.39256197,0.4752066,0.661157,0.59090906,0.47107437,0.54545456,0.6735537,0.74793386
231,0.3677686,0.45454547,0.5123967,0.58264464,0.59090906,0.59090906,0.59090906,0.58677685
265,0.5289256,0.55785125,0.57438016,0.5289256,0.5247934,0.58264464,0.6198347,0.6528926
371,0.21487603,0.2644628,0.3429752,0.41322315,0.49586776,0.5082645,0.5123967,0.5247934
365,0.5,0.53305787,0.607438,0.6280992,0.6570248,0.6322314,0.6570248,0.6694215
230,0.41322315,0.4876033,0.53305787,0.57438016,0.59504133,0.61570245,0.6694215,0.6983471
284,0.54545456,0.5661157,0.59090906,0.6280992,0.6528926,0.6363636,0.607438,0.59090906
96,0.13636364,0.23966943,0.3429752,0.446281,0.5495868,0.6404959,0.677686,0.6942149
370,0.3264463,0.32231405,0.3140496,0.30578512,0.25619835,0.18181819,0.42561984,0.5247934
15,0.661157,0.661157,0.6652893,0.6694215,0.70247936,0.72727275,0.74380165,0.75619835
249,0.3181818,0.41735536,0.47107437,0.5206612,0.5661157,0.58677685,0.61570245,0.607438
190,0.6570248,0.6652893,0.69008267,0.7107438,0.7231405,0.72727275,0.72727275,0.73966944
72,0.5495868,0.54545456,0.5413223,0.5371901,0.5371901,0.53305787,0.5289256,0.53305787
33,0.7231405,0.7107438,0.71487606,0.73140496,0.7355372,0.75206614,0.77272725,0.7933884
225,0.6694215,0.677686,0.6735537,0.6735537,0.6570248,0.6363636,0.6487603,0.6446281
376,0.7066116,0.70247936,0.7355372,0.78099173,0.7892562,0.77272725,0.7892562,0.7892562
315,0.18181819,0.338843,0.3553719,0.40495867,0.43801653,0.45867768,0.47107437,0.47933885
393,0.5785124,0.60330576,0.6322314,0.6652893,0.677686,0.7107438,0.7231405,0.73966944
85,0.17768595,0.24380165,0.29338843,0.29338843,0.38016528,0.5413223,0.6942149,0.70247936
